Código Comuna hasta 1999;Código Comuna desde 2000;Código Comuna desde 2008;Código Comuna desde 2010;Nombre Comuna;Código Comuna desde 2000;Código Comuna desde 2008;Código Comuna desde 2010;Provincia desde 2000;Código Comuna desde 2010;Código Provincia desde 2000;Provincia desde 2008;Código Provincia desde 2008;Provincia desde 2010;Código Provincia desde 2010;Nombre Región desde 2000;Código Región desde 2000;Nombre Región desde 2008;Código Región desde 2008;Nombre Servicio de Salud hasta 2007;Código Servicio Salud hasta 2007;Nombre Servicio de Salud desde 2008;Código Servicio Salud desde 2008
372;6203;6203;6203;Litueche;06203;06203;06203;Cardenal Caro;6203;062;Cardenal Caro;062;Cardenal Caro;062;Del Libertador B. O'Higgins;06;Del Libertador B. O'Higgins;06;Libertador B. O'Higgins;15;Libertador B. O'Higgins;15
374;6204;6204;6204;Marchihue;06204;06204;06204;Cardenal Caro;6204;062;Cardenal Caro;062;Cardenal Caro;062;Del Libertador B. O'Higgins;06;Del Libertador B. O'Higgins;06;Libertador B. O'Higgins;15;Libertador B. O'Higgins;15
371;6205;6205;6205;Navidad;06205;06205;06205;Cardenal Caro;6205;062;Cardenal Caro;062;Cardenal Caro;062;Del Libertador B. O'Higgins;06;Del Libertador B. O'Higgins;06;Libertador B. O'Higgins;15;Libertador B. O'Higgins;15
375;6206;6206;6206;Paredones;06206;06206;06206;Cardenal Caro;6206;062;Cardenal Caro;062;Cardenal Caro;062;Del Libertador B. O'Higgins;06;Del Libertador B. O'Higgins;06;Libertador B. O'Higgins;15;Libertador B. O'Higgins;15
355;6301;6301;6301;San Fernando;06301;06301;06301;Colchagua;6301;063;Colchagua;063;Colchagua;063;Del Libertador B. O'Higgins;06;Del Libertador B. O'Higgins;06;Libertador B. O'Higgins;15;Libertador B. O'Higgins;15
359;6302;6302;6302;Chépica;06302;06302;06302;Colchagua;6302;063;Colchagua;063;Colchagua;063;Del Libertador B. O'Higgins;06;Del Libertador B. O'Higgins;06;Libertador B. O'Higgins;15;Libertador B. O'Higgins;15
356;6303;6303;6303;Chimbarongo;06303;06303;06303;Colchagua;6303;063;Colchagua;063;Colchagua;063;Del Libertador B. O'Higgins;06;Del Libertador B. O'Higgins;06;Libertador B. O'Higgins;15;Libertador B. O'Higgins;15
361;6304;6304;6304;Lolol;06304;06304;06304;Colchagua;6304;063;Colchagua;063;Colchagua;063;Del Libertador B. O'Higgins;06;Del Libertador B. O'Higgins;06;Libertador B. O'Higgins;15;Libertador B. O'Higgins;15
358;6305;6305;6305;Nancagua;06305;06305;06305;Colchagua;6305;063;Colchagua;063;Colchagua;063;Del Libertador B. O'Higgins;06;Del Libertador B. O'Higgins;06;Libertador B. O'Higgins;15;Libertador B. O'Higgins;15
363;6306;6306;6306;Palmilla;06306;06306;06306;Colchagua;6306;063;Colchagua;063;Colchagua;063;Del Libertador B. O'Higgins;06;Del Libertador B. O'Higgins;06;Libertador B. O'Higgins;15;Libertador B. O'Higgins;15
364;6307;6307;6307;Peralillo;06307;06307;06307;Colchagua;6307;063;Colchagua;063;Colchagua;063;Del Libertador B. O'Higgins;06;Del Libertador B. O'Higgins;06;Libertador B. O'Higgins;15;Libertador B. O'Higgins;15
357;6308;6308;6308;Placilla;06308;06308;06308;Colchagua;6308;063;Colchagua;063;Colchagua;063;Del Libertador B. O'Higgins;06;Del Libertador B. O'Higgins;06;Libertador B. O'Higgins;15;Libertador B. O'Higgins;15
362;6309;6309;6309;Pumanque;06309;06309;06309;Colchagua;6309;063;Colchagua;063;Colchagua;063;Del Libertador B. O'Higgins;06;Del Libertador B. O'Higgins;06;Libertador B. O'Higgins;15;Libertador B. O'Higgins;15
360;6310;6310;6310;Santa Cruz;06310;06310;06310;Colchagua;6310;063;Colchagua;063;Colchagua;063;Del Libertador B. O'Higgins;06;Del Libertador B. O'Higgins;06;Libertador B. O'Higgins;15;Libertador B. O'Higgins;15
390;7101;7101;7101;Talca;07101;07101;07101;Talca;7101;071;Talca;071;Talca;071;Del Maule;07;Del Maule;07;Del Maule;16;Del Maule;16
397;7102;7102;7102;Constitución;07102;07102;07102;Talca;7102;071;Talca;071;Talca;071;Del Maule;07;Del Maule;07;Del Maule;16;Del Maule;16
398;7103;7103;7103;Curepto;07103;07103;07103;Talca;7103;071;Talca;071;Talca;071;Del Maule;07;Del Maule;07;Del Maule;16;Del Maule;16
395;7104;7104;7104;Empedrado;07104;07104;07104;Talca;7104;071;Talca;071;Talca;071;Del Maule;07;Del Maule;07;Del Maule;16;Del Maule;16
394;7105;7105;7105;Maule;07105;07105;07105;Talca;7105;071;Talca;071;Talca;071;Del Maule;07;Del Maule;07;Del Maule;16;Del Maule;16
391;7106;7106;7106;Pelarco;07106;07106;07106;Talca;7106;071;Talca;071;Talca;071;Del Maule;07;Del Maule;07;Del Maule;16;Del Maule;16
396;7107;7107;7107;Pencahue;07107;07107;07107;Talca;7107;071;Talca;071;Talca;071;Del Maule;07;Del Maule;07;Del Maule;16;Del Maule;16
392;7108;7108;7108;Río Claro;07108;07108;07108;Talca;7108;071;Talca;071;Talca;071;Del Maule;07;Del Maule;07;Del Maule;16;Del Maule;16
393;7109;7109;7109;San Clemente;07109;07109;07109;Talca;7109;071;Talca;071;Talca;071;Del Maule;07;Del Maule;07;Del Maule;16;Del Maule;16
399;7110;7110;7110;San Rafael;07110;07110;07110;Talca;7110;071;Talca;071;Talca;071;Del Maule;07;Del Maule;07;Del Maule;16;Del Maule;16
410;7201;7201;7201;Cauquenes;07201;07201;07201;Cauquenes;7201;072;Cauquenes;072;Cauquenes;072;Del Maule;07;Del Maule;07;Del Maule;16;Del Maule;16
412;7202;7202;7202;Chanco;07202;07202;07202;Cauquenes;7202;072;Cauquenes;072;Cauquenes;072;Del Maule;07;Del Maule;07;Del Maule;16;Del Maule;16
411;7203;7203;7203;Pelluhue;07203;07203;07203;Cauquenes;7203;072;Cauquenes;072;Cauquenes;072;Del Maule;07;Del Maule;07;Del Maule;16;Del Maule;16
