employeeCountRange,name,websiteUrl
"{'code': 'G', 'name': '1001-5000'}",BK Consultoria e Serviços Ltda,http://www.bkoutsourcing.com.br
"{'code': 'D', 'name': '51-200'}","GABITEL INGENIEROS, S.L.",www.gabitelingenieros.com
"{'code': 'C', 'name': '11-50'}",ASOCIACIÓN ATAM,https://www.atam.es
"{'code': 'D', 'name': '51-200'}",Full On Net,http://www.full-on-net.com
"{'code': 'D', 'name': '51-200'}",Ecix Group,http://ecixgroup.com
"{'code': 'B', 'name': '2-10'}",Educared,http://www.educared.org/aulashospitalarias
"{'code': 'C', 'name': '11-50'}",Civiciti,www.civiciti.com
"{'code': 'C', 'name': '11-50'}",Brasscom - Associação Brasileira das Empresas de Tecnologia da Informação e Comunicação,www.brasscom.org.br
"{'code': 'D', 'name': '51-200'}",Ziggurat Escuela Corporativa de Idiomas,www.ziggurat.es
"{'code': 'C', 'name': '11-50'}",Dançar Marketing,https://www.dancarmarketing.com.br
"{'code': 'E', 'name': '201-500'}",Alfatec,www.alfatecsistemas.es
"{'code': 'D', 'name': '51-200'}",UruIT,http://www.uruit.com
"{'code': 'C', 'name': '11-50'}",Israel Mobile Association,http://www.imaworld.org/
"{'code': 'D', 'name': '51-200'}",Dental Trey Srl,www.dentaltrey.it
"{'code': 'D', 'name': '51-200'}",Juvo,http://www.juvo.com
"{'code': 'A', 'name': 'myself only'}",Comercio de Bairro,http://www.comerciodebairro.com/
"{'code': 'G', 'name': '1001-5000'}",Logictel,www.logictel.com.br
"{'code': 'D', 'name': '51-200'}",BAK & Southern Connections Ltd - O2 Telefónica Franchise,http://www.bakltd.co.uk/
"{'code': 'E', 'name': '201-500'}",Interone,https://interone.de
"{'code': 'E', 'name': '201-500'}",Corporacion IBGROUP,www.corporacionibgroup.pe
"{'code': 'E', 'name': '201-500'}",Tiaxa,www.tiaxa.com
"{'code': 'E', 'name': '201-500'}",CTIL ,www.ctil.co.uk
